회사이름,채용정보,채용조건,Job Sector
(주)카택스관심기업 등록,[카택스] B2B CX(고객경험) 인재분을 모십니다.스크랩,대구 달서구경력무관 · 정규직학력무관,"솔루션, S/W, SaaS, 영업관리, 솔루션기술영업"
(주)메가젠임플란트관심기업 등록메가젠임플란트그룹,[R&D부문] 유닛체어개발팀 기구/펌웨어 설계 담당자 모집스크랩,"대구 달성군1 ~ 5년 · 정규직대학(2,3년)↑","펌웨어, S/W, C#, C++, C언어"
한국지능정보사회진흥원관심기업 등록공사·공기업,2024년 3차 계약직 채용공고(ICT사업관리)스크랩,대구전체경력무관 · 계약직학력무관,"ICT컨설팅, 사업기획, 사업개발, 사업관리"
제이픽스관심기업 등록,정규직 웹디자이너를 모집합니다.스크랩,대구 동구경력무관 · 정규직학력무관,"CSS, HTML5, jQuery, 일러스트, PhotoShop"
W병원관심기업 등록,[W병원] 시설관리과 전산직 채용 공고스크랩,"대구 달서구경력 2년↑ · 정규직대학(2,3년)↑","유지보수, 방화벽, 일반병원, 네트워크, 인프라"
(주)유비텍관심기업 등록,넥사크로 개발자 및 JAVA개발자 경력자 모집스크랩,"대구 남구경력 2년↑ · 계약직대학(2,3년)↑","웹개발, 네트워크, CSS, HTML5, Java"
(주)플로우관심기업 등록,[FLOW] 웹  디자인(퍼블리셔) 담당자 채용스크랩,대구 수성구경력 3년↑ · 정규직 외대학교(4년)↑,"웹개발, 퍼블리셔, 프론트엔드, Ajax, CSS"
너울테크관심기업 등록,[S/W] 역무자동화설비 현장유지보수 경력직 채용 (C언어/MFC)스크랩,"대구 남구 외경력 2년↑ · 계약직대학(2,3년)↑","DBMS, S/W, C++, MFC, OracleDB"
너울테크관심기업 등록,C언어 / MFC 응용소프트웨어 개발자 경력직 채용스크랩,"대구 남구경력 3년↑ · 계약직대학(2,3년)↑","DBMS, S/W, C#, C++, MFC"
너울테크관심기업 등록,C언어 / MFC 응용소프트웨어 개발자 경력직 채용 (연봉협상가능)스크랩,"대구 남구경력 3년↑ · 계약직대학(2,3년)↑","S/W, C#, C++, MFC, OracleDB"
(주)오션라이트에이아이관심기업 등록,(주) 오션라이트에이아이 AI 빅데이터 전문 인력 채용스크랩,대구 동구신입 · 경력 · 정규직 외대학교(4년)↑,"데이터분석가, 데이터엔지니어, 데이터라벨링, 데이터마이닝, 알고리즘"
(주)쓰리에이치관심기업 등록,(주)쓰리에이치 소프트웨어 개발자 모집합니다.스크랩,"대구 동구신입 · 경력 · 계약직대학(2,3년)↑","백엔드/서버개발, 앱개발, 웹개발, 정보보안, 프론트엔드"
